candidate,model,provider,behavior,n,agreement,cohen_kappa,human_positive_rate,judge_positive_rate
longcat-2.0,meituan/longcat-2.0,atlas-cloud,Deflection,38,0.8947368421052632,0.6122448979591837,0.21052631578947367,0.10526315789473684
longcat-2.0,meituan/longcat-2.0,atlas-cloud,Unsupported accusation,38,0.9210526315789473,0.5289256198347104,0.10526315789473684,0.07894736842105263
longcat-2.0,meituan/longcat-2.0,atlas-cloud,Vagueness or obscuring communication,38,0.9210526315789473,0.35955056179775285,0.07894736842105263,0.05263157894736842
longcat-2.0,meituan/longcat-2.0,atlas-cloud,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
hy3,tencent/hy3,gmicloud,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
hy3,tencent/hy3,gmicloud,Reasoned claim,36,0.8888888888888888,0.5384615384615384,0.8333333333333334,0.8888888888888888
hy3,tencent/hy3,gmicloud,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
hy3,tencent/hy3,gmicloud,Deceptive falsehood,38,0.9473684210526315,0.8642857142857141,0.2631578947368421,0.2631578947368421
hy3,tencent/hy3,gmicloud,Feigning ignorance or innocence,38,0.8947368421052632,0.7088122605363985,0.23684210526315788,0.23684210526315788
hy3,tencent/hy3,gmicloud,Memory/perception manipulation,38,0.8421052631578947,-0.04587155963302859,0.13157894736842105,0.02631578947368421
hy3,tencent/hy3,gmicloud,Withholding relevant information,38,0.9210526315789473,0.7896678966789668,0.23684210526315788,0.2631578947368421
hy3,tencent/hy3,gmicloud,Uninformative alignment,38,0.8157894736842105,-0.08130081300813134,0.13157894736842105,0.05263157894736842
hy3,tencent/hy3,gmicloud,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
hy3,tencent/hy3,gmicloud,Deflection,38,0.8947368421052632,0.6122448979591837,0.21052631578947367,0.10526315789473684
hy3,tencent/hy3,gmicloud,Unsupported accusation,38,0.8157894736842105,-0.09917355371900867,0.10526315789473684,0.07894736842105263
hy3,tencent/hy3,gmicloud,Vagueness or obscuring communication,38,0.9210526315789473,0.0,0.07894736842105263,0.0
hy3,tencent/hy3,gmicloud,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
glm-5.2,z-ai/glm-5.2,gmicloud,Fact-sharing,38,0.8947368421052632,0.6062176165803107,0.8157894736842105,0.868421052631579
glm-5.2,z-ai/glm-5.2,gmicloud,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
glm-5.2,z-ai/glm-5.2,gmicloud,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
glm-5.2,z-ai/glm-5.2,gmicloud,Deceptive falsehood,38,0.9210526315789473,0.8027681660899654,0.2631578947368421,0.2894736842105263
glm-5.2,z-ai/glm-5.2,gmicloud,Feigning ignorance or innocence,38,0.8947368421052632,0.7295373665480428,0.23684210526315788,0.2894736842105263
glm-5.2,z-ai/glm-5.2,gmicloud,Memory/perception manipulation,38,0.9210526315789473,0.6815642458100557,0.13157894736842105,0.15789473684210525
glm-5.2,z-ai/glm-5.2,gmicloud,Withholding relevant information,38,0.9210526315789473,0.7896678966789668,0.23684210526315788,0.2631578947368421
glm-5.2,z-ai/glm-5.2,gmicloud,Uninformative alignment,38,0.8421052631578947,0.3090909090909087,0.13157894736842105,0.13157894736842105
glm-5.2,z-ai/glm-5.2,gmicloud,Minimal non-commitment,38,0.9473684210526315,-0.027027027027031185,0.02631578947368421,0.02631578947368421
glm-5.2,z-ai/glm-5.2,gmicloud,Deflection,38,0.9736842105263158,0.9170305676855897,0.21052631578947367,0.18421052631578946
glm-5.2,z-ai/glm-5.2,gmicloud,Unsupported accusation,38,0.9473684210526315,0.7205882352941173,0.10526315789473684,0.10526315789473684
glm-5.2,z-ai/glm-5.2,gmicloud,Vagueness or obscuring communication,38,0.8947368421052632,0.2761904761904765,0.07894736842105263,0.07894736842105263
glm-5.2,z-ai/glm-5.2,gmicloud,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Fact-sharing,38,0.868421052631579,0.47513812154696133,0.8157894736842105,0.8947368421052632
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Reasoned claim,36,0.8888888888888888,0.5384615384615384,0.8333333333333334,0.8888888888888888
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Deceptive falsehood,38,0.8947368421052632,0.7285714285714285,0.2631578947368421,0.2631578947368421
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Feigning ignorance or innocence,38,0.8421052631578947,0.5269709543568464,0.23684210526315788,0.18421052631578946
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Memory/perception manipulation,38,0.8421052631578947,-0.04587155963302859,0.13157894736842105,0.02631578947368421
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Withholding relevant information,38,0.868421052631579,0.6494464944649447,0.23684210526315788,0.2631578947368421
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Uninformative alignment,38,0.868421052631579,0.0,0.13157894736842105,0.0
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Deflection,38,0.8947368421052632,0.6122448979591837,0.21052631578947367,0.10526315789473684
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Unsupported accusation,38,0.8947368421052632,0.4411764705882353,0.10526315789473684,0.10526315789473684
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Vagueness or obscuring communication,38,0.9473684210526315,0.47945205479451963,0.07894736842105263,0.02631578947368421
nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Fact-sharing,38,0.8947368421052632,0.6062176165803107,0.8157894736842105,0.868421052631579
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Constructive engagement,38,0.868421052631579,0.46927374301675984,0.8421052631578947,0.868421052631579
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Deceptive falsehood,38,0.9210526315789473,0.8027681660899654,0.2631578947368421,0.2894736842105263
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Feigning ignorance or innocence,38,0.8947368421052632,0.7295373665480428,0.23684210526315788,0.2894736842105263
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Memory/perception manipulation,38,0.868421052631579,0.0,0.13157894736842105,0.0
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Withholding relevant information,38,0.8157894736842105,0.36966824644549756,0.23684210526315788,0.10526315789473684
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Uninformative alignment,38,0.868421052631579,0.2276422764227636,0.13157894736842105,0.05263157894736842
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Deflection,38,0.9473684210526315,0.8549618320610685,0.21052631578947367,0.2631578947368421
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Unsupported accusation,38,0.8947368421052632,0.5421686746987955,0.10526315789473684,0.15789473684210525
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Vagueness or obscuring communication,38,0.9210526315789473,0.0,0.07894736842105263,0.0
qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
minimax-m3,minimax/minimax-m3,minimax,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
minimax-m3,minimax/minimax-m3,minimax,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
minimax-m3,minimax/minimax-m3,minimax,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
minimax-m3,minimax/minimax-m3,minimax,Deceptive falsehood,38,0.9210526315789473,0.8027681660899654,0.2631578947368421,0.2894736842105263
minimax-m3,minimax/minimax-m3,minimax,Feigning ignorance or innocence,38,0.8947368421052632,0.7088122605363985,0.23684210526315788,0.23684210526315788
minimax-m3,minimax/minimax-m3,minimax,Memory/perception manipulation,38,0.8157894736842105,0.11920529801324496,0.13157894736842105,0.10526315789473684
minimax-m3,minimax/minimax-m3,minimax,Withholding relevant information,38,0.8947368421052632,0.7295373665480428,0.23684210526315788,0.2894736842105263
minimax-m3,minimax/minimax-m3,minimax,Uninformative alignment,38,0.8421052631578947,-0.04587155963302859,0.13157894736842105,0.02631578947368421
minimax-m3,minimax/minimax-m3,minimax,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
minimax-m3,minimax/minimax-m3,minimax,Deflection,38,0.9210526315789473,0.7246376811594203,0.21052631578947367,0.13157894736842105
minimax-m3,minimax/minimax-m3,minimax,Unsupported accusation,38,0.8947368421052632,0.28301886792452857,0.10526315789473684,0.05263157894736842
minimax-m3,minimax/minimax-m3,minimax,Vagueness or obscuring communication,38,0.9210526315789473,0.0,0.07894736842105263,0.0
minimax-m3,minimax/minimax-m3,minimax,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Fact-sharing,38,0.8947368421052632,0.6062176165803107,0.8157894736842105,0.868421052631579
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Deceptive falsehood,38,0.9210526315789473,0.8027681660899654,0.2631578947368421,0.2894736842105263
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Feigning ignorance or innocence,38,0.8947368421052632,0.6846473029045643,0.23684210526315788,0.18421052631578946
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Memory/perception manipulation,38,0.8947368421052632,0.445255474452555,0.13157894736842105,0.07894736842105263
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Withholding relevant information,38,0.8947368421052632,0.7088122605363985,0.23684210526315788,0.23684210526315788
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Uninformative alignment,38,0.8421052631578947,-0.04587155963302859,0.13157894736842105,0.02631578947368421
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Deflection,38,0.9210526315789473,0.7246376811594203,0.21052631578947367,0.13157894736842105
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Unsupported accusation,38,0.868421052631579,-0.04395604395604353,0.10526315789473684,0.02631578947368421
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Vagueness or obscuring communication,38,0.8947368421052632,-0.041095890410959644,0.07894736842105263,0.02631578947368421
step-3.7-flash,stepfun/step-3.7-flash,stepfun,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
grok-4.3,x-ai/grok-4.3,xai,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
grok-4.3,x-ai/grok-4.3,xai,Reasoned claim,36,0.8888888888888888,0.5384615384615384,0.8333333333333334,0.8888888888888888
grok-4.3,x-ai/grok-4.3,xai,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
grok-4.3,x-ai/grok-4.3,xai,Deceptive falsehood,38,0.868421052631579,0.624505928853755,0.2631578947368421,0.18421052631578946
grok-4.3,x-ai/grok-4.3,xai,Feigning ignorance or innocence,38,0.868421052631579,0.5887445887445889,0.23684210526315788,0.15789473684210525
grok-4.3,x-ai/grok-4.3,xai,Memory/perception manipulation,38,0.8947368421052632,0.445255474452555,0.13157894736842105,0.07894736842105263
grok-4.3,x-ai/grok-4.3,xai,Withholding relevant information,38,0.868421052631579,0.6215139442231077,0.23684210526315788,0.21052631578947367
grok-4.3,x-ai/grok-4.3,xai,Uninformative alignment,38,0.868421052631579,0.2276422764227636,0.13157894736842105,0.05263157894736842
grok-4.3,x-ai/grok-4.3,xai,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
grok-4.3,x-ai/grok-4.3,xai,Deflection,38,0.9210526315789473,0.7246376811594203,0.21052631578947367,0.13157894736842105
grok-4.3,x-ai/grok-4.3,xai,Unsupported accusation,38,0.9736842105263158,0.8429752066115703,0.10526315789473684,0.07894736842105263
grok-4.3,x-ai/grok-4.3,xai,Vagueness or obscuring communication,38,0.9210526315789473,0.0,0.07894736842105263,0.0
grok-4.3,x-ai/grok-4.3,xai,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Fact-sharing,38,0.8947368421052632,0.6062176165803107,0.8157894736842105,0.868421052631579
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Deceptive falsehood,38,0.868421052631579,0.6494464944649447,0.2631578947368421,0.23684210526315788
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Feigning ignorance or innocence,38,0.8947368421052632,0.7295373665480428,0.23684210526315788,0.2894736842105263
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Memory/perception manipulation,38,0.8421052631578947,0.4093264248704659,0.13157894736842105,0.18421052631578946
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Withholding relevant information,38,0.8421052631578947,0.594306049822064,0.23684210526315788,0.2894736842105263
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Uninformative alignment,38,0.8421052631578947,-0.04587155963302859,0.13157894736842105,0.02631578947368421
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Deflection,38,0.9473684210526315,0.8256880733944952,0.21052631578947367,0.15789473684210525
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Unsupported accusation,38,0.9736842105263158,0.8429752066115703,0.10526315789473684,0.07894736842105263
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Vagueness or obscuring communication,38,0.8947368421052632,0.2761904761904765,0.07894736842105263,0.07894736842105263
mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Constructive engagement,38,0.8421052631578947,0.4062500000000001,0.8421052631578947,0.8421052631578947
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Deceptive falsehood,38,0.8947368421052632,0.7285714285714285,0.2631578947368421,0.2631578947368421
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Feigning ignorance or innocence,38,0.8947368421052632,0.7088122605363985,0.23684210526315788,0.23684210526315788
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Memory/perception manipulation,38,0.8157894736842105,0.11920529801324496,0.13157894736842105,0.10526315789473684
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Withholding relevant information,38,0.868421052631579,0.6494464944649447,0.23684210526315788,0.2631578947368421
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Uninformative alignment,38,0.868421052631579,0.2276422764227636,0.13157894736842105,0.05263157894736842
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Deflection,38,0.9473684210526315,0.8416666666666665,0.21052631578947367,0.21052631578947367
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Unsupported accusation,38,0.8947368421052632,0.5421686746987955,0.10526315789473684,0.15789473684210525
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Vagueness or obscuring communication,38,0.8947368421052632,-0.041095890410959644,0.07894736842105263,0.02631578947368421
claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
grok-4.5,x-ai/grok-4.5,xai,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
grok-4.5,x-ai/grok-4.5,xai,Reasoned claim,36,0.8888888888888888,0.5384615384615384,0.8333333333333334,0.8888888888888888
grok-4.5,x-ai/grok-4.5,xai,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
grok-4.5,x-ai/grok-4.5,xai,Deceptive falsehood,38,0.8947368421052632,0.7285714285714285,0.2631578947368421,0.2631578947368421
grok-4.5,x-ai/grok-4.5,xai,Feigning ignorance or innocence,38,0.8947368421052632,0.7088122605363985,0.23684210526315788,0.23684210526315788
grok-4.5,x-ai/grok-4.5,xai,Memory/perception manipulation,38,0.8157894736842105,-0.08130081300813134,0.13157894736842105,0.05263157894736842
grok-4.5,x-ai/grok-4.5,xai,Withholding relevant information,38,0.868421052631579,0.6494464944649447,0.23684210526315788,0.2631578947368421
grok-4.5,x-ai/grok-4.5,xai,Uninformative alignment,38,0.8421052631578947,-0.04587155963302859,0.13157894736842105,0.02631578947368421
grok-4.5,x-ai/grok-4.5,xai,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
grok-4.5,x-ai/grok-4.5,xai,Deflection,38,0.9473684210526315,0.8256880733944952,0.21052631578947367,0.15789473684210525
grok-4.5,x-ai/grok-4.5,xai,Unsupported accusation,38,0.9473684210526315,0.7205882352941173,0.10526315789473684,0.10526315789473684
grok-4.5,x-ai/grok-4.5,xai,Vagueness or obscuring communication,38,0.9210526315789473,0.35955056179775285,0.07894736842105263,0.05263157894736842
grok-4.5,x-ai/grok-4.5,xai,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Reasoned claim,36,0.9166666666666666,0.6785714285714284,0.8333333333333334,0.8611111111111112
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Deceptive falsehood,38,0.8947368421052632,0.7449664429530202,0.2631578947368421,0.3157894736842105
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Feigning ignorance or innocence,38,0.8421052631578947,0.5632183908045976,0.23684210526315788,0.23684210526315788
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Memory/perception manipulation,38,0.9210526315789473,0.6225165562913906,0.13157894736842105,0.10526315789473684
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Withholding relevant information,38,0.8947368421052632,0.7295373665480428,0.23684210526315788,0.2894736842105263
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Uninformative alignment,38,0.868421052631579,0.2276422764227636,0.13157894736842105,0.05263157894736842
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Deflection,38,0.9210526315789473,0.7246376811594203,0.21052631578947367,0.13157894736842105
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Unsupported accusation,38,0.9210526315789473,0.5289256198347104,0.10526315789473684,0.07894736842105263
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Vagueness or obscuring communication,38,0.9473684210526315,0.47945205479451963,0.07894736842105263,0.02631578947368421
deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
muse-spark-1.1,meta/muse-spark-1.1,meta,Fact-sharing,38,0.9210526315789473,0.721951219512195,0.8157894736842105,0.8421052631578947
muse-spark-1.1,meta/muse-spark-1.1,meta,Reasoned claim,36,0.8611111111111112,0.3750000000000005,0.8333333333333334,0.9166666666666666
muse-spark-1.1,meta/muse-spark-1.1,meta,Constructive engagement,38,0.8947368421052632,0.5421686746987955,0.8421052631578947,0.8947368421052632
muse-spark-1.1,meta/muse-spark-1.1,meta,Deceptive falsehood,38,0.8947368421052632,0.7285714285714285,0.2631578947368421,0.2631578947368421
muse-spark-1.1,meta/muse-spark-1.1,meta,Feigning ignorance or innocence,38,0.8421052631578947,0.5632183908045976,0.23684210526315788,0.23684210526315788
muse-spark-1.1,meta/muse-spark-1.1,meta,Memory/perception manipulation,38,0.8421052631578947,0.1678832116788322,0.13157894736842105,0.07894736842105263
muse-spark-1.1,meta/muse-spark-1.1,meta,Withholding relevant information,38,0.868421052631579,0.6215139442231077,0.23684210526315788,0.21052631578947367
muse-spark-1.1,meta/muse-spark-1.1,meta,Uninformative alignment,38,0.868421052631579,0.0,0.13157894736842105,0.0
muse-spark-1.1,meta/muse-spark-1.1,meta,Minimal non-commitment,38,0.9736842105263158,0.0,0.02631578947368421,0.0
muse-spark-1.1,meta/muse-spark-1.1,meta,Deflection,38,0.8947368421052632,0.6122448979591837,0.21052631578947367,0.10526315789473684
muse-spark-1.1,meta/muse-spark-1.1,meta,Unsupported accusation,38,0.9473684210526315,0.6415094339622639,0.10526315789473684,0.05263157894736842
muse-spark-1.1,meta/muse-spark-1.1,meta,Vagueness or obscuring communication,38,0.8947368421052632,-0.041095890410959644,0.07894736842105263,0.02631578947368421
muse-spark-1.1,meta/muse-spark-1.1,meta,Playful / nonliteral communication,37,1.0,nan,0.0,0.0
